"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 16-May-2023"
"NIFTY 50","22,319.20","22,330.00","22,105.95","22,200.55","22,179.10","-21.45","-0.10","14,60,42,528","15,104.24","22,794.70","18,060.40","-0.32","21.40"
"BHARTIARTL","1,328.00","1,356.85","1,321.30","1,309.90","1,342.00","32.10","2.45","59,42,536","795.85","1,356.85","783.90","6.97","66.37"
"TECHM","1,287.00","1,307.50","1,281.30","1,274.50","1,300.60","26.10","2.05","23,00,752","298.59","1,416.30","1,039.00","4.57","20.55"
"INFY","1,433.95","1,455.75","1,427.00","1,419.95","1,440.95","21.00","1.48","37,69,194","544.21","1,733.00","1,242.45","-3.28","12.31"
"LTIM","4,665.95","4,768.00","4,665.95","4,649.30","4,715.00","65.70","1.41","2,78,473","131.51","6,442.00","4,565.50","-3.44","-1.83"
"HCLTECH","1,345.00","1,357.80","1,340.35","1,332.90","1,350.85","17.95","1.35","27,67,618","373.92","1,697.35","1,062.70","-11.44","22.21"
"APOLLOHOSP","5,890.00","5,909.00","5,850.00","5,848.80","5,903.40","54.60","0.93","1,24,312","73.27","6,874.45","4,410.25","-7.21","28.40"
"ONGC","276.00","279.35","274.00","273.45","275.60","2.15","0.79","80,29,504","221.66","292.95","150.05","-2.29","62.77"
"TCS","3,891.10","3,909.50","3,869.55","3,880.40","3,882.50","30.10","0.78","10,14,711","394.35","4,254.75","3,156.00","-1.54","19.10"
"WIPRO","462.00","467.50","458.60","458.30","461.20","2.90","0.63","33,25,987","153.98","545.90","375.05","-0.23","18.44"
"KOTAKBANK","1,655.00","1,668.75","1,647.20","1,650.80","1,661.00","10.20","0.62","33,15,075","550.20","2,064.40","1,543.85","-8.19","-15.22"
"HEROMOTOCO","5,064.95","5,128.65","5,041.70","5,057.30","5,082.15","24.85","0.49","5,29,173","269.93","5,128.65","2,667.20","15.43","88.28"
"TATACONSUM","1,071.00","1,074.50","1,057.85","1,068.90","1,074.10","5.20","0.49","10,60,592","112.96","1,269.00","756.45","-5.46","35.95"
"BAJAJFINSV","1,575.05","1,579.35","1,560.45","1,569.05","1,576.05","7.00","0.45","3,80,622","59.75","1,741.00","1,397.05","-5.30","9.85"
"HDFCBANK","1,446.05","1,448.85","1,435.50","1,438.50","1,444.80","6.30","0.44","65,34,334","943.20","1,757.50","1,363.55","-3.76","-12.68"
"ADANIPORTS","1,352.20","1,366.75","1,331.00","1,337.85","1,342.50","4.65","0.35","23,26,661","314.06","1,424.95","659.50","1.70","94.74"
"JSWSTEEL","872.80","877.40","864.45","870.95","873.10","2.15","0.25","9,61,092","83.63","914.00","681.05","1.22","23.93"
"ITC","430.00","430.45","425.50","427.80","428.35","0.55","0.13","75,32,487","321.90","499.70","399.35","0.45","0.91"
"CIPLA","1,409.00","1,413.35","1,387.30","1,406.70","1,407.80","1.10","0.08","10,89,916","152.50","1,519.00","911.55","1.83","52.55"
"M&M","2,319.45","2,337.55","2,292.50","2,302.30","2,304.05","1.75","0.08","18,69,352","432.69","2,337.55","1,237.45","12.12","82.37"
"TITAN","3,276.30","3,290.95","3,251.30","3,268.55","3,267.20","-1.35","-0.04","4,37,732","142.97","3,886.95","2,670.00","-9.22","17.14"
"HDFCLIFE","557.00","557.10","550.70","555.95","555.35","-0.60","-0.11","20,30,384","112.28","710.60","538.00","-9.30","-0.63"
"SUNPHARMA","1,529.00","1,535.25","1,511.65","1,527.40","1,525.75","-1.65","-0.11","7,62,387","115.92","1,638.85","922.45","-0.82","62.33"
"BAJFINANCE","6,700.35","6,717.00","6,651.00","6,680.00","6,668.00","-12.00","-0.18","3,11,632","208.09","8,192.00","6,187.80","-5.60","-1.54"
"ULTRACEMCO","9,630.60","9,655.00","9,525.50","9,614.10","9,591.15","-22.95","-0.24","1,31,535","125.92","10,526.00","7,585.10","1.13","24.88"
"BRITANNIA","5,064.15","5,089.15","5,017.50","5,064.00","5,050.95","-13.05","-0.26","1,21,383","61.18","5,386.05","4,347.70","6.34","9.92"
"SBILIFE","1,431.55","1,431.90","1,420.15","1,430.10","1,426.00","-4.10","-0.29","4,47,498","63.74","1,569.40","1,142.55","-2.51","21.12"
"RELIANCE","2,837.10","2,848.80","2,812.55","2,832.55","2,823.85","-8.70","-0.31","25,10,782","711.08","3,024.90","2,220.30","-3.31","15.44"
"LT","3,428.95","3,428.95","3,381.50","3,411.30","3,399.20","-12.10","-0.35","12,87,309","437.39","3,860.00","2,168.50","-5.26","53.17"
"DIVISLAB","3,896.00","3,899.80","3,830.00","3,892.55","3,877.45","-15.10","-0.39","1,42,720","55.08","4,100.00","3,051.00","4.74","18.70"
"HINDUNILVR","2,337.00","2,337.00","2,301.35","2,323.30","2,314.10","-9.20","-0.40","6,00,165","138.75","2,769.65","2,172.05","5.89","-13.18"
"ASIANPAINT","2,821.05","2,837.60","2,791.00","2,813.70","2,800.00","-13.70","-0.49","5,02,203","140.65","3,568.00","2,670.10","-1.08","-10.34"
"HINDALCO","660.00","666.00","647.35","653.70","650.35","-3.35","-0.51","35,76,516","235.19","666.00","397.80","6.69","58.49"
"TATASTEEL","167.25","168.00","163.80","165.60","164.70","-0.90","-0.54","1,67,86,122","278.92","170.75","104.05","2.95","54.19"
"COALINDIA","468.65","475.00","463.00","467.85","465.20","-2.65","-0.57","95,58,150","448.36","487.60","223.25","3.74","94.17"
"ADANIENT","3,065.00","3,076.95","2,997.30","3,049.75","3,031.60","-18.15","-0.60","8,45,817","256.02","3,350.00","1,857.75","-3.10","61.44"
"ICICIBANK","1,133.00","1,136.55","1,113.75","1,124.35","1,116.75","-7.60","-0.68","49,52,031","558.03","1,169.55","899.00","4.27","18.81"
"AXISBANK","1,134.15","1,134.50","1,111.30","1,128.05","1,120.35","-7.70","-0.68","32,96,482","370.43","1,182.90","908.95","6.63","22.91"
"NESTLEIND","2,470.00","2,479.95","2,427.65","2,465.00","2,444.45","-20.55","-0.83","3,40,268","83.18","2,769.30","2,127.50","-3.47","-88.68"
"DRREDDY","5,928.00","5,928.00","5,799.75","5,875.00","5,812.10","-62.90","-1.07","2,10,344","122.96","6,505.90","4,384.05","-2.26","30.12"
